Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,1.212018,1.212342,1.203761,1.212033,1.212033,0
2023-01-03,1.206404,1.209000,1.190377,1.206287,1.206287,0
2023-01-04,1.196774,1.208664,1.196774,1.196974,1.196974,0
2023-01-05,1.205269,1.207817,1.187804,1.205705,1.205705,0
2023-01-06,1.191029,1.206753,1.184455,1.191228,1.191228,0
2023-01-09,1.212077,1.220733,1.209526,1.211637,1.211637,0
2023-01-10,1.218472,1.219810,1.211255,1.218487,1.218487,0
2023-01-11,1.215451,1.217789,1.210185,1.215451,1.215451,0
2023-01-12,1.216012,1.223736,1.209716,1.215953,1.215953,0
2023-01-13,1.221643,1.224695,1.215185,1.221777,1.221777,0
2023-01-16,1.222464,1.228864,1.217434,1.222673,1.222673,0
2023-01-17,1.220882,1.229982,1.217063,1.220778,1.220778,0
2023-01-18,1.228365,1.243317,1.225655,1.228471,1.228471,0
2023-01-19,1.234675,1.237547,1.231391,1.234766,1.234766,0
2023-01-20,1.239203,1.239999,1.233654,1.239326,1.239326,0
2023-01-23,1.240726,1.244927,1.232468,1.240633,1.240633,0
2023-01-24,1.237930,1.241372,1.226497,1.237976,1.237976,0
2023-01-25,1.233243,1.239910,1.228562,1.232924,1.232924,0
2023-01-26,1.241157,1.243085,1.234598,1.241249,1.241249,0
2023-01-27,1.241496,1.241928,1.234812,1.241527,1.241527,0
2023-01-30,1.240125,1.241758,1.236874,1.240030,1.240030,0
2023-01-31,1.235224,1.237011,1.228637,1.235361,1.235361,0
2023-02-01,1.230784,1.234720,1.230315,1.230890,1.230890,0
2023-02-02,1.238866,1.240187,1.224065,1.239004,1.239004,0
2023-02-03,1.222195,1.226618,1.206578,1.222300,1.222300,0
2023-02-06,1.204456,1.207846,1.200639,1.204515,1.204515,0
2023-02-07,1.202718,1.206001,1.196315,1.202675,1.202675,0
2023-02-08,1.205473,1.211035,1.203963,1.205458,1.205458,0
2023-02-09,1.207292,1.219245,1.205778,1.207146,1.207146,0
2023-02-10,1.211666,1.213843,1.206040,1.211681,1.211681,0
2023-02-13,1.205124,1.214373,1.203254,1.205226,1.205226,0
2023-02-14,1.215126,1.225700,1.212106,1.215214,1.215214,0
2023-02-15,1.217478,1.218145,1.199113,1.217434,1.217434,0
2023-02-16,1.204181,1.207394,1.196716,1.203978,1.203978,0
2023-02-17,1.197461,1.203138,1.191682,1.197533,1.197533,0
2023-02-20,1.202834,1.205647,1.201548,1.202979,1.202979,0
2023-02-21,1.203717,1.214388,1.199127,1.203920,1.203920,0
2023-02-22,1.210991,1.213563,1.205851,1.210932,1.210932,0
2023-02-23,1.204906,1.207540,1.201345,1.204993,1.204993,0
2023-02-24,1.201735,1.204065,1.193147,1.201779,1.201779,0
2023-02-27,1.195114,1.205691,1.192321,1.195243,1.195243,0
2023-02-28,1.206302,1.214255,1.202762,1.206156,1.206156,0
2023-03-01,1.203138,1.208824,1.196688,1.203355,1.203355,0
2023-03-02,1.203036,1.203630,1.192762,1.202993,1.202993,0
2023-03-03,1.195043,1.201880,1.194929,1.195157,1.195157,0
2023-03-06,1.203051,1.204805,1.199443,1.202848,1.202848,0
2023-03-07,1.202675,1.206404,1.185255,1.202646,1.202646,0
2023-03-08,1.182942,1.185789,1.180791,1.182774,1.182774,0
2023-03-09,1.184946,1.193545,1.183376,1.185017,1.185017,0
2023-03-10,1.192393,1.210976,1.191157,1.192250,1.192250,0
2023-03-13,1.207715,1.217612,1.205153,1.207934,1.207934,0
2023-03-14,1.216811,1.220212,1.214152,1.217137,1.217137,0
2023-03-15,1.215200,1.218145,1.201909,1.215214,1.215214,0
2023-03-16,1.206826,1.211666,1.202935,1.206928,1.206928,0
2023-03-17,1.211180,1.217656,1.210317,1.211050,1.211050,0
2023-03-20,1.218814,1.226512,1.216811,1.218769,1.218769,0
2023-03-21,1.227476,1.228184,1.218294,1.227626,1.227626,0
2023-03-22,1.222584,1.229574,1.220927,1.222509,1.222509,0
2023-03-23,1.227868,1.234263,1.226663,1.227973,1.227973,0
2023-03-24,1.227943,1.228999,1.219230,1.228154,1.228154,0
2023-03-27,1.224185,1.229105,1.221986,1.224600,1.224600,0
2023-03-28,1.229725,1.234903,1.228199,1.229755,1.229755,0
2023-03-29,1.233624,1.236002,1.230500,1.233046,1.233046,0
2023-03-30,1.231118,1.238359,1.229543,1.231360,1.231360,0
2023-03-31,1.238728,1.242267,1.234507,1.238728,1.238728,0
2023-04-03,1.228894,1.242005,1.227687,1.228697,1.228697,0
2023-04-04,1.242097,1.252035,1.239634,1.242313,1.242313,0
2023-04-05,1.249953,1.251470,1.243626,1.249844,1.249844,0
2023-04-06,1.246479,1.248626,1.241434,1.246308,1.246308,0
2023-04-07,1.244106,1.245625,1.239434,1.243900,1.243900,0
2023-04-10,1.243456,1.244276,1.234873,1.243163,1.243163,0
2023-04-11,1.239511,1.245733,1.238774,1.239219,1.239219,0
2023-04-12,1.243008,1.248346,1.239956,1.243101,1.243101,0
2023-04-13,1.249141,1.253667,1.247988,1.249266,1.249266,0
2023-04-14,1.252317,1.254705,1.241434,1.252530,1.252530,0
2023-04-17,1.240202,1.243936,1.235498,1.240018,1.240018,0
2023-04-18,1.237425,1.244973,1.236812,1.237547,1.237547,0
2023-04-19,1.242962,1.247334,1.239357,1.242545,1.242545,0
2023-04-20,1.242885,1.246634,1.240633,1.242885,1.242885,0
2023-04-21,1.243936,1.244710,1.237042,1.244091,1.244091,0
2023-04-24,1.244834,1.246836,1.241357,1.244973,1.244973,0
2023-04-25,1.249953,1.250688,1.238850,1.250000,1.250000,0
2023-04-26,1.241619,1.251157,1.240356,1.241480,1.241480,0
2023-04-27,1.247147,1.249375,1.243874,1.247147,1.247147,0
2023-04-28,1.250062,1.258131,1.244865,1.249750,1.249750,0
2023-05-01,1.255840,1.257000,1.248954,1.255761,1.255761,0
2023-05-02,1.248736,1.251220,1.243657,1.248595,1.248595,0
2023-05-03,1.247972,1.255209,1.246961,1.247661,1.247661,0
2023-05-04,1.256866,1.259684,1.255225,1.256897,1.256897,0
2023-05-05,1.258257,1.265102,1.256597,1.258336,1.258336,0
2023-05-08,1.263105,1.266945,1.262818,1.263057,1.263057,0
2023-05-09,1.261273,1.263919,1.258052,1.261273,1.261273,0
2023-05-10,1.262563,1.267909,1.260414,1.262467,1.262467,0
2023-05-11,1.262897,1.264063,1.249984,1.262700,1.262700,0
2023-05-12,1.251016,1.254092,1.245951,1.250813,1.250813,0
2023-05-15,1.245377,1.252536,1.244555,1.245097,1.245097,0
2023-05-16,1.252599,1.254579,1.246681,1.252521,1.252521,0
2023-05-17,1.248704,1.249407,1.242205,1.248439,1.248439,0
2023-05-18,1.248253,1.249375,1.240064,1.248281,1.248281,0
2023-05-19,1.241311,1.247863,1.239388,1.241234,1.241234,0
2023-05-22,1.246121,1.247256,1.241496,1.246106,1.246106,0
2023-05-23,1.243595,1.244694,1.237333,1.243441,1.243441,0
2023-05-24,1.241850,1.246417,1.235804,1.241727,1.241727,0
2023-05-25,1.236843,1.238590,1.231906,1.237103,1.237103,0
2023-05-26,1.231906,1.239434,1.231224,1.231830,1.231830,0
2023-05-29,1.234598,1.237317,1.233669,1.234690,1.234690,0
2023-05-30,1.234736,1.244524,1.232848,1.234934,1.234934,0
2023-05-31,1.241465,1.242514,1.234903,1.241188,1.241188,0
2023-06-01,1.244555,1.253698,1.240325,1.244694,1.244694,0
2023-06-02,1.252960,1.254519,1.245811,1.252599,1.252599,0
2023-06-05,1.242993,1.244091,1.236965,1.243024,1.243024,0
2023-06-06,1.243286,1.245842,1.239357,1.243317,1.243317,0
2023-06-07,1.243147,1.249969,1.239618,1.242854,1.242854,0
2023-06-08,1.244725,1.255713,1.244199,1.244586,1.244586,0
2023-06-09,1.255887,1.259129,1.253573,1.255950,1.255950,0
2023-06-12,1.257814,1.259938,1.248798,1.258099,1.258099,0
2023-06-13,1.251486,1.261957,1.251486,1.251533,1.251533,0
2023-06-14,1.260716,1.269986,1.260081,1.260684,1.260684,0
2023-06-15,1.267154,1.276536,1.263105,1.267090,1.267090,0
2023-06-16,1.278625,1.284769,1.276895,1.278576,1.278576,0
2023-06-19,1.283368,1.284000,1.278658,1.283038,1.283038,0
2023-06-20,1.279492,1.280574,1.271520,1.279476,1.279476,0
2023-06-21,1.276471,1.279787,1.269359,1.276536,1.276536,0
2023-06-22,1.277123,1.281723,1.273026,1.277205,1.277205,0
2023-06-23,1.274519,1.275050,1.269197,1.274714,1.274714,0
2023-06-26,1.273253,1.274827,1.268971,1.272961,1.272961,0
2023-06-27,1.270923,1.275917,1.270487,1.271197,1.271197,0
2023-06-28,1.274454,1.275136,1.260827,1.274470,1.274470,0
2023-06-29,1.264127,1.266592,1.259256,1.264254,1.264254,0
2023-06-30,1.261495,1.272621,1.260144,1.261464,1.261464,0
2023-07-03,1.269358,1.271941,1.266031,1.269325,1.269325,0
2023-07-04,1.269036,1.273642,1.268472,1.269293,1.269293,0
2023-07-05,1.272087,1.273415,1.268923,1.271763,1.271763,0
2023-07-06,1.270632,1.278037,1.267620,1.270454,1.270454,0
2023-07-07,1.274226,1.284010,1.272718,1.274275,1.274275,0
2023-07-10,1.283862,1.283862,1.275266,1.283895,1.283895,0
2023-07-11,1.286323,1.293326,1.285975,1.286471,1.286471,0
2023-07-12,1.293494,1.300221,1.290506,1.293477,1.293477,0
2023-07-13,1.299798,1.311338,1.299022,1.299630,1.299630,0
2023-07-14,1.313146,1.314233,1.309518,1.312853,1.312853,0
2023-07-17,1.309123,1.310719,1.305449,1.309020,1.309020,0
2023-07-18,1.307087,1.312456,1.305125,1.307172,1.307172,0
2023-07-19,1.303509,1.303951,1.287167,1.303509,1.303509,0
2023-07-20,1.293979,1.296512,1.284192,1.293979,1.293979,0
2023-07-21,1.286968,1.290389,1.281788,1.287233,1.287233,0
2023-07-24,1.285182,1.288344,1.279918,1.285347,1.285347,0
